sample,chr,startpos,endpos
P100_1,chr8,0,3421
P100_1,chr8,3422,61902116
P100_1,chr8,61902117,75250042
P100_1,chr8,75250043,82181550
P100_1,chr8,82181551,87100522
P100_1,chr8,87100523,89411514
P100_1,chr8,89411515,92152204
P100_1,chr8,92152205,93387916
P100_1,chr8,93387917,98212730
P100_1,chr8,98212731,98324382
P100_1,chr8,98324383,98559557
P100_1,chr8,98559558,103355284
P100_1,chr8,103355285,103564620
P100_1,chr8,103564621,103969558
P100_1,chr8,103969559,109821237
P100_1,chr8,109821238,146259314
P100_2,chr8,0,3421
P100_2,chr8,3422,6314274
P100_2,chr8,6314275,88940574
P100_2,chr8,88940575,94104740
P100_2,chr8,94104741,146259314
P101_1,chr8,0,3421
P101_1,chr8,3422,63058346
P101_1,chr8,63058347,64177891
P101_1,chr8,64177892,76719552
P101_1,chr8,76719553,87100522
P101_1,chr8,87100523,93053712
P101_1,chr8,93053713,93208010
P101_1,chr8,93208011,94911630
P101_1,chr8,94911631,96482008
P101_1,chr8,96482009,98717600
P101_1,chr8,98717601,103969558
P101_1,chr8,103969559,104181631
P101_1,chr8,104181632,146259314
P101_2,chr8,0,3421
P101_2,chr8,3422,20848971
P101_2,chr8,20848972,21077538
P101_2,chr8,21077539,27964054
P101_2,chr8,27964055,50082816
P101_2,chr8,50082817,60892191
P101_2,chr8,60892192,66027550
P101_2,chr8,66027551,68431822
P101_2,chr8,68431823,73720832
P101_2,chr8,73720833,74578562
P101_2,chr8,74578563,80330525
P101_2,chr8,80330526,89090575
P101_2,chr8,89090576,94550138
P101_2,chr8,94550139,95870771
P101_2,chr8,95870772,99829806
P101_2,chr8,99829807,101048035
P101_2,chr8,101048036,105497434
P101_2,chr8,105497435,107934214
P101_2,chr8,107934215,112916836
P101_2,chr8,112916837,114912612
P101_2,chr8,114912613,119087401
P101_2,chr8,119087402,143678854
P101_2,chr8,143678855,146259314
P102_1,chr8,0,3421
P102_1,chr8,3422,28541120
P102_1,chr8,28541121,50228296
P102_1,chr8,50228297,80625566
P102_1,chr8,80625567,82181550
P102_1,chr8,82181551,90191790
P102_1,chr8,90191791,104512866
P102_1,chr8,104512867,108783805
P102_1,chr8,108783806,109224596
P102_1,chr8,109224597,146259314
P102_2,chr8,0,3421
P102_2,chr8,3422,2514483
P102_2,chr8,2514484,11991272
P102_2,chr8,11991273,24705380
P102_2,chr8,24705381,34461471
P102_2,chr8,34461472,47159181
P102_2,chr8,47159182,48569218
P102_2,chr8,48569219,49961040
P102_2,chr8,49961041,50018176
P102_2,chr8,50018177,53789080
P102_2,chr8,53789081,109224596
P102_2,chr8,109224597,110129451
P102_2,chr8,110129452,112971892
P102_2,chr8,112971893,116459814
P102_2,chr8,116459815,118174589
P102_2,chr8,118174590,122264102
P102_2,chr8,122264103,122897278
P102_2,chr8,122897279,127444183
P102_2,chr8,127444184,146259314
P103_1,chr8,0,3421
P103_1,chr8,3422,2319770
P103_1,chr8,2319771,34461471
P103_1,chr8,34461472,48097190
P103_1,chr8,48097191,52031139
P103_1,chr8,52031140,94104740
P103_1,chr8,94104741,94911630
P103_1,chr8,94911631,99121565
P103_1,chr8,99121566,99633413
P103_1,chr8,99633414,103969558
P103_1,chr8,103969559,120377063
P103_1,chr8,120377064,146259314
P103_2,chr8,0,3421
P103_2,chr8,3422,9823444
P103_2,chr8,9823445,17515398
P103_2,chr8,17515399,23937499
P103_2,chr8,23937500,28541120
P103_2,chr8,28541121,29580659
P103_2,chr8,29580660,33733299
P103_2,chr8,33733300,36991884
P103_2,chr8,36991885,41527923
P103_2,chr8,41527924,50657497
P103_2,chr8,50657498,56238209
P103_2,chr8,56238210,58604285
P103_2,chr8,58604286,58868732
P103_2,chr8,58868733,60123906
P103_2,chr8,60123907,70724693
P103_2,chr8,70724694,78296948
P103_2,chr8,78296949,79079956
P103_2,chr8,79079957,82181550
P103_2,chr8,82181551,82471488
P103_2,chr8,82471489,83966974
P103_2,chr8,83966975,93208010
P103_2,chr8,93208011,97904779
P103_2,chr8,97904780,98212730
P103_2,chr8,98212731,98324382
P103_2,chr8,98324383,99345473
P103_2,chr8,99345474,103564620
P103_2,chr8,103564621,116459814
P103_2,chr8,116459815,129221895
P103_2,chr8,129221896,130065152
P103_2,chr8,130065153,146259314
P104_1,chr8,0,3421
P104_1,chr8,3422,4437929
P104_1,chr8,4437930,34469015
P104_1,chr8,34469016,34780307
P104_1,chr8,34780308,73720832
P104_1,chr8,73720833,80147179
P104_1,chr8,80147180,82334833
P104_1,chr8,82334834,82874359
P104_1,chr8,82874360,84579885
P104_1,chr8,84579886,85112281
P104_1,chr8,85112282,95481736
P104_1,chr8,95481737,99633413
P104_1,chr8,99633414,105050618
P104_1,chr8,105050619,105985325
P104_1,chr8,105985326,112546233
P104_1,chr8,112546234,146259314
P104_2,chr8,0,3421
P104_2,chr8,3422,2319770
P104_2,chr8,2319771,21077538
P104_2,chr8,21077539,34461471
P104_2,chr8,34461472,34467605
P104_2,chr8,34467606,36991884
P104_2,chr8,36991885,52812357
P104_2,chr8,52812358,62083003
P104_2,chr8,62083004,66027550
P104_2,chr8,66027551,82114967
P104_2,chr8,82114968,87794370
P104_2,chr8,87794371,89090575
P104_2,chr8,89090576,96482321
P104_2,chr8,96482322,101048035
P104_2,chr8,101048036,107355489
P104_2,chr8,107355490,117192357
P104_2,chr8,117192358,120377063
P104_2,chr8,120377064,126918375
P104_2,chr8,126918376,140497719
P104_2,chr8,140497720,143634695
P104_2,chr8,143634696,143678854
P104_2,chr8,143678855,146259314
P105_1,chr8,0,3421
P105_1,chr8,3422,47817518
P105_1,chr8,47817519,50228296
P105_1,chr8,50228297,52750925
P105_1,chr8,52750926,58995676
P105_1,chr8,58995677,60443552
P105_1,chr8,60443553,60521919
P105_1,chr8,60521920,60581760
